Title,Address,Car,Moto,Money,Lat,Lon
湖美街60巷臨時免費公有停車場,臺南市中西區湖美街60巷(西湖社區活動中心旁),39,30,免費,23.001348,120.180463
裕平路公有停車場(廣停E2),臺南市東區裕平路、裕和二街口(虎尾寮公有零售市場旁),52,0,免費,22.985099,120.240635
精忠三村臨時停車場,臺南市東區中華東路一段(夢時代對面),208,0,免費,22.992259,120.234134
大林路111巷公有停車場(停11),臺南市南區大林路111巷、大同路2段482巷72弄中間,36,0,免費,22.974261,120.212021
竹溪街公有停車場(停10),臺南市南區竹溪街、健康路一段133巷51弄口(何必館大樓旁),25,0,免費,22.979404,120.210122
安平港鯤鯓站臨時免費公有停車場,臺南市南區安平港聯外道路(四鯤鯓碼頭管制站前),89,13,免費,22.966607,120.165861
黃金海岸停車場,臺南市南區西濱公路182.5公里處(黃金海岸旁),343,0,免費,22.935294,120.176096
舉喜堂路外停車場(廣停S7),臺南市南區明興路1087巷,23,0,免費,22.929762,120.186599
公園路兵配場臨時路外公有停車場,臺南市北區公園路(兵工配件場),414,800,免費,23.001733,120.208858
北成路38巷口臨時免費公有停車場,臺南市北區北成路、北成路38巷口(北成基督教會旁),37,0,免費,23.018801,120.210622
成功里福安公園臨時免費公有停車場,臺南市北區北成路、北成路186巷、372巷間,19,36,免費,23.020956,120.207658
賢北街臨時免費公有停車場,臺南市北區大興街、賢北街口,74,0,免費,23.009077,120.182972
北成路，停N15,臺南市北區北成路與北安路一段262巷口,18,0,免費,23.020163,120.207459
文賢路365巷口臨時免費公有停車場,臺南市北區文賢路365巷、文賢路365巷18弄口,18,0,免費,23.007993,120.193168
成德停四免費公有停車場,臺南市北區海安路3段388巷、立賢路1段650巷口,56,0,免費,23.008784,120.202745
大興四自辦重劃區公有停車場,臺南市北區大興街76巷,28,0,免費,23.013149,120.191955
大道停6路外停車場,臺南市北區北門路2段與和緯路1段路口西北側,62,0,免費,23.009483,120.215684
怡平停九免費臨時停車場,臺南市安平區怡平路、永華6街口,36,0,免費,22.993143,120.176998
育平七街60巷公有停車場(停8),臺南市安平區育平七街60巷(慶平路安億停車場後方),50,0,免費,22.997098,120.165344
建平八街臨時免費公有停車場,臺南市安平區建平8街、建平9街與永華3街口(郵局西側),61,0,免費,22.990774,120.181339
民權路四段停車場,臺南市安平區民權路4段尾(抽水站旁),100,0,免費,23.0024439,120.1657798
育平9街公有停車場(停10),臺南市安平區國平路、育平9街口,47,0,免費,22.995457,120.171169
郡平路口臨時路外公有停車場,臺南市安平區郡平路(郡平路388號對面),70,39,免費,22.98939,120.161398
文平路與建平五街免費臨時停車場,臺南市安平區文平路、建平五街口,66,0,免費,22.98782,120.177861
國平自辦市地重劃區公有停車場,臺南市安平區健康路3段、國平路口,81,0,免費,22.983464,120.171584
本原街3段，停1,臺南市安南區本原街3段、智安三街口(本淵寮公有零售市場東側),40,0,免費,23.053085,120.177632
安順里臨時免費公有停車場,臺南市安南區總安街1段、育安街口,58,21,免費,23.05134,120.215377
安通自辦重劃區公有停車場,臺南市安南區安和路1段263巷66號旁,8,0,免費,23.031608,120.210249
總安一自辦重劃區公有停車場,臺南市安南區安和路四段533巷151弄46號安南區安和路四段351巷,51,0,免費,23.059597,120.215128
高鐵台南車站停一停車場,臺南市歸仁區高發一路與高發二路中間段北邊(歸仁七路旁),78,133,免費,22.927048,120.288496
高鐵台南車站停二停車場,臺南市歸仁區高發一路與高發二路中間段南邊(歸仁十三路旁),87,88,免費,22.924538,120.289762
高鐵台南車站停三停車場,臺南市歸仁區站后一路(歸仁三路與歸仁五路中間),71,0,免費,22.930103,120.285846
高鐵台南車站停四停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)北邊,32,0,免費,22.928866,120.286463
高鐵台南車站停五停車場,臺南市歸仁區站后一路(歸仁五路與歸仁七路中間)南邊,34,0,免費,22.927999,120.286902
高鐵台南車站停六停車場,臺南市歸仁區武當路(歸仁六路與歸仁八路中間),40,0,免費,22.928414,120.282342
高鐵台南車站停七停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)北邊,34,0,免費,22.9274,120.282909
高鐵台南車站停八停車場,臺南市歸仁區武當路(歸仁八路與歸仁十路中間)南邊,34,0,免費,22.926511,120.283375
高鐵台南車站停九停車場,臺南市歸仁區高鐵八路與高鐵六路口,81,86,免費,22.924441,120.280069
新化區廣停二地下停車場,臺南市新化區中正路498號,53,0,免費,23.038381,120.307308
楠西區停二立體停車場,臺南市楠西區民生路12號,13,0,免費,23.17657,120.48596
南化區玉山停車場,臺南市南化區南化水庫下方「源之旅公園」,230,0,免費,23.091827,120.533993
麻豆區市五地下停車場(零售市場),臺南市麻豆區中正路80-33號,90,0,免費,23.185615,120.249665
麻豆區機三地下停車場,臺南市麻豆區興南路16號,22,0,免費,23.183046,120.248751
麻豆區公所公共停車場,臺南市麻豆區忠孝路250號,106,73,免費,23.185018,120.257946
將軍區公一停車場,臺南市將軍區忠興里180-50號，文康中心、圖書館旁(飛砂崙公園),52,26,免費,23.200988,120.160568
新營區東興路公有停車場,臺南市新營區東興路、東興八街(衛生局旁),62,9,免費,23.316108,120.322873
後壁區公所停車場,臺南市後壁區公所後方,13,0,免費,23.366355,120.362119
白河區停三停車場,臺南市白河區新興路與光華路口,61,0,免費,23.352304,120.41977
東山區停二停車場,臺南市東山區龍鳳街與新東路口,92,15,免費,23.322393,120.401742
鹽水區停三停車場,臺南市鹽水區治水路268巷(鹽水區農會與衛生所交接處),29,0,免費,23.320069,120.2653
大內區西拉雅親子公園廣場停車場,臺南市大內區西拉雅親子公園內(台84頭社交流道旁),118,10,免費,23.142867,120.370378
台鐵南科車站西側停車場,臺南市新市區台鐵南科站前站,23,310,免費,23.107715,120.301043
台鐵南科車站東側停車場,臺南市新市區台鐵南科站前站,17,88,免費,23.107825,120.30278
南科特定區LM陽光電城,臺南市新市區龍目井路(陽光大道與陽光南一路中間)北邊,97,74,免費,23.109766,120.306521
新市區停1停車場,臺南市新市區新市區民生路、富中街口西側,127,0,免費,23.079798,120.288098
新市區停2停車場,臺南市新市區新市區民生路62巷附近,173,0,免費,23.080636,120.289337
臺灣歷史博物館西北側停車場(廣停AN11-1),臺南市安南區館安路與館安二路交叉口,168,70,免費,23.0639,120.228596
鹽神白沙灘停車場,臺南市安平區安平區安北路370巷口東側,50,0,免費,23.000893,120.153909
碧海碼頭停車場,臺南市安平區安平區大平路、世平路口南側,200,0,免費,22.993128,120.151379
安億橋停車場,臺南市安平區安億路與慶平路路口東南側,408,274,免費,22.997144,120.164272
樹屋停車場,臺南市安平區安平區王城路、古堡街146巷口,300,0,免費,23.003599,120.157329
遊憩碼頭停車場,臺南市安平區安平區運河路(觀景台、金城里活動中心旁),117,0,免費,22.995521,120.15662